synset	label	lemma
00027705-v	O	memperbarui
00027705-v	O	memproduksi
00027705-v	O	mengulurkan
00027705-v	X	terpadamkan
00027807-n	O	berbentuk
00027833-a	X	dimiliki sampai dengan
00028181-a	X	yang harus dinyatakan
00028362-v	X	menyegarkan dan menguatkan
00028565-v	X	senyum-senyum
00028651-n	X	infinite
00028651-n	X	ruang tak terbatas
00029025-v	O	kerenyot
00029025-v	O	kumut
00029025-v	O	ringis
00029025-v	O	serengeh
00029025-v	X	mengernyih
00029025-v	X	tersenyum lebar
00029037-r	O	Lagi pula
00029336-v	X	senyum menyeringai
00029367-r	O	syahdan
00030508-a	X	berkeinginan memiliki
00030647-v	O	membobolkan
00030647-v	X	atau serangan mendadak
00030647-v	X	runtuh karena keletihan
00031138-a	X	terlalu serakah
00031304-r	X	interruption
00031384-a	X	kejam tamak
00031418-v	X	mengotek
00031921-n	O	wasilah
00031921-n	X	sangkut-paut
00032497-a	X	penuh semangat aktif
00032733-a	X	gapah
00032778-v	O	meledek
00032823-n	O	interaksi sosial
00032823-n	X	interaksi sebagai proses sosial
00032981-v	X	memandang dengan marah
00033203-v	X	memandang dengan marah
00033406-v	O	renung
00033421-r	O	sekejap mata
00034032-a	O	pendam
00034115-v	O	menepik
00034322-a	X	lambat dan apatis
00034641-r	O	mula-mula sekali
00035189-n	O	pemenuhan
00035697-n	O	agon
00035779-a	X	Penuh semangat
00036254-a	X	siap untuk bisnis
00036362-v	O	kumbah
00036481-a	X	kurangnya kegiatan
00036762-n	O	eksploit
00036762-n	X	exploit
00037006-n	X	prestasi luar biasa
00037226-r	O	bahwasanya
00037226-r	O	sungguh mati
00037341-a	X	ditutup oleh pemogokan
00037470-r	O	bahwasanya
00037514-v	X	menghilangkan bulu
00037641-r	O	bahwasanya
00037653-a	X	maju dalam keparahan
00038013-r	O	bahwasanya
00038013-r	O	sungguh mati
00038262-n	X	cara beraksi
00038849-v	O	mengeset
00038849-v	O	menjadwalkan
00039121-v	X	model rambut pendek
00039259-a	X	melibatkan partisipasi aktif
00039297-n	O	hubung
00039592-a	X	kurang energi kemauan
00039916-n	O	jemput
00039916-n	X	tindakan mengambil
00039929-a	X	tidak melibatkan intervensi
00040058-a	X	korban tidak melawan
00040152-n	X	saling interaksi
00040188-v	O	ejek
00040188-v	O	mengagani
00040534-a	X	aktif memuntahkan lahar
00040685-a	O	pendam
00041188-n	X	olahraga atau rekreasi lainnya
00041488-a	X	gunung berapi yang hidup
00041488-a	X	mampu meletus
00041554-v	X	memerahi pipi
00041618-a	X	kata sifat partisip
00041740-n	X	permainan bowling
00042173-v	X	mempupuri
00042541-n	X	proses melahirkan anak
00042692-a	X	diberikan secara aktif
00042692-a	X	fotosensitif atau konduktif
00042692-a	X	misalnya radioaktif
00042792-v	X	memangkas rambut
00043195-n	O	temuan
00043195-n	X	tindakan menemukan sesuatu
00044150-n	X	tindakan pelaksanaan
00044353-a	O	potensial
00044394-r	O	empat mata
00044861-r	O	empat mata
00045250-n	X	tindakan mendorong
00045561-a	O	virulen
00045817-v	O	menciutkan
00046151-v	O	mengantongi
00046177-n	X	tindakan meninggalkan
00046299-r	O	sampai ke sumsum
00046339-a	X	cenderung untuk mendamaikan
00046339-a	X	membawa ke harmoni
00046344-n	X	prestasi yang sulit
00046471-a	X	berhubungan dengan adaptasi
00046534-v	O	berbusana
00046558-a	X	penyesuaian yang kondusif
00046955-a	X	penyesuaian yang buruk
00047243-a	X	kecanduan alkohol
00047317-v	O	mencoba
00047406-a	X	kecanduan obat
00047566-a	X	tidak kecanduan
00047786-a	X	menyebabkan kecanduan
00047941-n	X	prestasi ireversibel
00047954-a	X	tidak menyebabkan kecanduan
00048225-n	X	pemenuhan tujuan
00048460-a	X	meningkat berturut-turut
00048475-r	O	masa kini
00048633-v	O	membahas
00048633-v	O	membelongsongi
00048633-v	O	menggelimangi
00048633-v	X	mengkover
00048706-a	X	mampu ditambahkan ke
00048739-r	O	sekejap mata
00049003-n	X	tindakan memasuki
00049266-a	X	meningkat secara bertahap
00049683-a	X	berkaitan dengan penjumlahan
00049789-n	X	tindakan memasuki
00049900-v	X	melepas pakaian
00050083-a	X	melibatkan pengurangan
00050484-n	X	muncul tak terduga2
00050693-n	X	tindakan muncul
00050817-r	O	erat-erat
00050887-n	X	penampakkan ulang
00051712-n	X	saling penetrasi
00052246-a	X	tidak memenuhi persyaratan
00052548-v	X	menggemukkkan
00052672-a	X	cenderung mengikuti
00053020-n	X	berangkat buru-buru
00053032-a	X	cepat melekat
00053248-a	X	mampu memegang bersama
00053384-a	X	saling menempel
00053525-n	X	tindakan mengatakan perpisahan
00053564-a	X	menyebabkan kohesi
00053691-a	O	belengket
00053691-a	O	lekit
00053691-a	X	memiliki sifat lengket
00053913-n	O	pengunduran diri
00054109-a	O	lekit
00054109-a	X	lembut dan lengket
00054201-a	X	mirip permen karet
00054364-a	X	memiliki karakteristik tar
00054628-v	O	mengantongi
00054652-n	X	belajar dan meditasi
00054652-n	X	penarikan untuk berdoa
00054821-n	X	terutama untuk perlindung
00054908-a	X	cenderung tidak mematuhi
00055142-a	X	tidak memiliki resin
00055142-v	O	berkembang biak
00055539-a	O	esensial
00056188-v	O	mengeset
00056334-v	O	berkembang biak
00056334-v	O	beternak
00056334-v	O	memeliharakan
00056334-v	X	mengembangbiakan
00056930-v	O	babaran
00056930-v	O	mengedrop
00057490-a	X	ditetapkan dengan carbuncles
00057657-n	O	layar utama
00057748-n	X	tindakan militer terkoordinasi darat
00058280-a	X	perangkat heraldik
00058519-n	O	pintu keluar
00058608-n	O	kawin lari
00058696-a	X	memiliki hiasan tambahan
00058897-v	X	melahirkan anak sapi
00059131-a	X	dihiasi oleh inlays
00059376-n	X	tindakan menghindari tertangkap
00059782-a	X	dihiasi dengan burik2
00059895-n	X	gerakan mengelak cepat
00059899-v	X	mengaborsi
00059989-n	X	breakout
00060063-v	X	mengaborsi
00060397-a	O	lugas
00060477-v	O	mengebiri
00060747-n	X	penerbangan tergesa-gesa
00060833-v	O	mengebiri
00061203-r	O	bakda
00061203-r	O	bakdu
00061203-r	O	nantinya
00061219-v	O	mengastrasi
00061219-v	O	mengebiri
00061262-a	O	lingat
00061262-a	O	trengginas
00061290-n	X	tindakan pengiriman sesuatu
00061453-n	X	proses pengiriman lagi
00061595-v	O	mensterilkan
00061598-n	X	tindakan kepada penyelesaian
00061664-a	X	bebas dari kekusutan
00061885-a	X	menunjukkan keterampilan temuan
00061933-v	X	menyingsinng
00062133-n	O	orgasme
00062451-n	X	tindakan penyempurnaan sesuatu
00062582-v	O	mensterilkan
00062626-a	X	terampil dengan tangan
00062671-n	X	pemenuhan kapasitas
00062740-a	X	memiliki jari cekatan
00063563-a	X	terutama tangan
00063953-a	X	tidak pada tempatnya
00064151-n	X	hal yang menakjubkan
00064504-n	O	gebrakan
00064787-a	O	Berguna
00064787-a	O	Bermanfaat
00064946-r	O	syahdan
00065184-r	O	syahdan
00065418-n	X	sukses lengkap
00065488-a	X	bersifat merugikan
00065639-v	O	mengantongi
00065855-n	X	satuan kredit semester
00066025-v	O	meringik
00066075-n	X	kredit akademik
00066685-v	X	bersiram air mata
00066703-a	O	kembara
00066703-a	X	petualangan flamboyan
00066977-v	X	merabik
00067153-n	O	gagal total
00067707-n	X	tindakan menyerah
00068368-r	O	beserta
00068577-r	O	beserta
00069427-a	X	bukan aerobik
00069531-a	O	estetis
00069604-n	X	pelanggaran akibat perawatan
00069685-n	X	kegagalan jaminan penjual
00069879-v	O	mencederai
00070427-a	X	suka keindahan
00070439-v	O	memijak
00070583-a	X	melanggar estetika
00070839-a	X	kekurangan sensibilitas estetika
00070939-a	O	terenyuh
00071178-v	O	menyiksa
00071178-v	O	siksaan
00071739-a	X	terpengaruh keseganan
00071803-v	O	menghela
00071803-v	O	menjenggut
00071897-a	X	dipengaruhi oleh keheranan
00072012-v	O	berurine
00072473-n	O	keruwetan
00072473-n	Y	hiru-hara
00072586-v	O	berurine
00072586-v	O	buang air
00072586-v	O	pipis
00072673-a	X	tidak merasa kagum
00072808-n	X	kesalahan dalam menghitung
00072989-v	O	mengangsurkan
00072989-v	O	menyalip
00073032-n	X	ledakkan sebelum waktunya
00073033-r	O	nyaris
00073048-a	O	terenyuh
00073358-a	X	berjuang untuk efek
00073465-a	X	artifisial formal
00073761-a	X	kurang spontanitas
00073828-n	X	biasanya dalam pidato
00073897-r	O	sebagian besar
00074324-n	X	luar posisi
00074346-a	X	bebas dari kepalsuan
00074558-v	O	kabat
00074594-a	X	bebas dari kepalsuan
00074624-n	O	terlangkaui
00074741-a	X	tanpa kepalsuan
00074834-v	X	mencucurkan darah
00074867-a	X	tidak sadar diri
00075135-a	O	afirmatif
00075421-v	O	menggenjot
00075737-a	X	terutama dengan mayoritas
00076127-a	X	toleransi tanpa protes
00076341-a	X	cenderung untuk menolak
00076400-v	O	mengecor
00076580-a	X	berhenti untuk mengasosiasikan
00076739-a	X	menolak dengan tegas
00077169-n	X	jatuh dengan pantat
00077196-a	X	tersuspensi dalam cairan
00077354-a	X	didukung oleh air
00077645-a	O	risih
00077645-a	X	ciut hati
00077698-v	X	sesak nafas
00077950-v	O	cekik
00077981-n	O	terinfeksi
00078393-n	X	tindakan menghasilkan uang
00078463-a	X	pengucapan takut
00078576-a	X	atau kekhawatiran
00078576-a	X	dilanda rasa takut
00078705-a	X	menderita agorafobia
00078760-v	O	mengobati
00078942-a	X	menderita algophobia
00079356-a	X	menderita claustrophobia
00079603-n	X	perdagangan dalam obligasi
00079629-a	X	membuat takut
00079786-a	X	terserang horor
00080098-a	X	takut air
00080242-n	X	insider trading
00080534-r	X	tidak tau malu
00080981-a	X	diisi dengan teror
00081072-v	O	menadbirkan
00081087-a	X	menderita triskaidekaphobia
00081367-v	X	mentransfusi
00081725-v	O	mengobati
00081725-v	O	mengobatkan
00081930-a	X	lambat mengenali bahaya
00082714-v	O	berbusana
00083003-a	X	menunjukkan disposisi pertempuran
00083975-n	X	tindakan yang disengaja memperoleh sesuatu
00084230-v	O	mengobati
00084661-a	X	penuh semangat perjuangan
00084795-a	X	agresif menantang
00085264-a	X	bermasalah secara emosional
00085626-v	X	menggemukkkan
00085811-r	O	sekejap mata
00085811-r	O	taajul
00085870-a	X	emosi sangat gelisah
00085907-v	X	memakai salep
00086341-a	X	terlalu gelisah
00086404-r	O	erat-erat
00087022-a	X	tampak sangat gelisah
00087354-a	X	gangguan gerakan fisik
00087423-n	X	tindakan memberikan subsidi
00087542-r	O	sampai hari kiamat
00087542-r	X	sampai akhir jaman
00087736-v	O	meluwengkan
00087736-v	O	mengantongi
00088157-a	X	terguncang menjadi gelombang
00088532-v	X	memabukan
00088713-v	O	jangkit
00089051-a	O	ramah tamah
00089076-r	O	sampai hari kiamat
00089076-r	X	sampai akhir jaman
00089324-v	X	membasmi hama
00089351-n	X	perolehan kembali
00089408-r	O	sampai ke sumsum
00089550-a	X	menyebabkan jengkel
00089750-v	O	jangkit
00090076-n	X	foreclosure
00090219-a	X	tajam menyenangkan
00090253-n	O	tanda pembayaran
00090408-a	X	sangat mengganggu saraf
00090718-a	X	dari udara kebumi
00091124-v	O	memilin-milin
00091124-v	X	melenceng
00091124-v	X	membelengkokan
00091311-a	O	samapta
00091764-a	X	hati-hati jeli
00091964-r	O	erat-erat
00092275-a	X	penuh waspada
00092293-v	O	lorot
00093433-a	X	yang dapat disesuaikan
00093483-n	X	deliverance
00094069-a	X	tidak dapat dilanggar
00094324-a	X	tidak mampu ditransfer
00094460-v	O	memproduksi
00094460-v	O	mengantongi
00094460-v	X	mempermahirkan
00095094-a	X	mewujudkan karakteristik hidup
00096136-v	X	tumbuh melewati gusi
00096239-a	X	mampu tumbuh normal
00096239-a	X	mengembang dan hidup
00096414-a	X	kehilangan fungsi otak
00096595-a	X	tampak mati
00096815-a	X	kurang kehangatan hidup
00097147-a	X	tidak lagi kehidupan
00097674-a	O	almarhum
00097768-a	X	kehilangan kehidupan
00097768-a	X	tidak lagi hidup
00098083-v	X	hidup kembali
00098147-a	X	membunuh / pembunuh
00098517-v	O	membubungkan
00098517-v	O	memeliharakan
00098517-v	O	meroket
00098770-v	O	meloncer
00098770-v	O	membubung
00098770-v	X	menyingsinng
00099061-n	X	parkir valet
00099061-n	X	valet parkir
00099184-v	O	mengobati
00099184-v	O	mengobatkan
00099439-n	X	encore
00099951-n	O	ilmu sihir
00099951-n	O	magik
00100002-r	O	secercah
00100881-a	X	abjad yang teratur
00101152-a	X	tidak berdasarkan abjad
00101277-v	X	memperkokoh
00101800-a	O	egosentris
00101800-a	X	egositis
00102201-a	O	ambigu
00102578-a	X	memiliki dua tujuan
00102974-v	X	mendrible
00103302-a	O	arti
00103302-a	X	atau banding
00103302-a	X	memiliki banyak nilai
00103567-a	O	ambigu
00103875-v	X	memerah-tuakan
00103875-v	X	menjadikan merah tua
00104051-a	O	ambisius
00104868-v	O	memecatkan
00104868-v	O	meritul
00104868-v	O	meroyer
00104942-a	X	terlalu ambisius
00104976-n	X	permainan bowling
00105333-v	O	menarik napas
00105479-n	X	barang yang dilontarkan
00105554-v	O	celatuk
00105554-v	O	gurauan
00105603-r	O	sekejap mata
00105603-r	O	taajul
00106277-a	X	memiliki cukup kain
00106456-a	X	tangan selalu tergenggam
00106960-v	X	terlindas
00107231-v	O	panggil
00107250-a	X	nyaris tidak memuaskan
00107416-r	X	sangat terlambat
00107416-r	X	terlalu membebani
00107739-v	O	membobolkan
00107868-a	X	berhubungan dengan anabolism
00107987-r	O	berangsur
00107987-r	O	sedikit demi sedikit
00107987-r	X	setapak demi setapak
00108145-a	X	berhubungan dengan katabolisme
00108475-v	X	tumbuh melewati gusi
00108595-a	X	tidak astigmatik
00109389-v	X	berbusa-busa
00109660-v	O	mengisarkan
00109782-a	X	bergerak ke bawah atau bawah lereng
00111660-n	X	lay-up
00112018-a	X	pembentukan kata turunan
00113818-a	O	rengus
00113853-v	X	menjadi brutal
00114291-v	X	dikonversi ke karamel
00114431-n	O	sentakan
00114454-a	X	kemarahan ekstrim
00114615-v	X	dikonversi menjadi karamel
00114921-a	X	dicirikan oleh kemarahan
00115157-v	X	mengkonversikan
00115500-n	O	sentakan
00115777-a	X	menunjukkan kemarahan ekstrim
00116245-a	X	marah berapi-api
00116510-r	O	bersama
00116510-r	O	beserta
00116529-a	O	redut
00116529-a	O	sewot
00116940-a	X	menunjukkan kebencian mendalam
00117082-r	O	bersama
00117578-n	O	serdawa
00117624-v	X	konversi ke malt
00117654-a	X	memiliki sensasi fisik
00117754-a	X	kesadaran dan animasi
00117878-v	X	konversi ke malt
00117985-v	O	berihat
00117985-v	O	timpang
00117985-v	X	berehat-rehat
00118032-r	O	bakdu
00118032-r	O	syahdan
00118268-n	X	wajah yang merah
00118844-a	X	dimeriahkan atau semangat
00118965-r	O	tadinya
00119074-v	O	membedakan
00119266-v	O	membedakan
00119524-v	O	membedakan
00119893-n	O	junam
00120202-n	O	ambul
00120316-v	O	mengantongi
00120796-v	O	mengantongi
00120804-n	O	lob
00121183-a	X	terutama genus dan spesies dalam taksonomi
00121214-v	O	berselang-seling
00121387-v	X	bekerja bergiliran
00121506-v	O	doncang
00121552-a	X	sebelumnya kematian
00121649-a	X	dilakukan setelah kematian
00122097-v	X	membuat pembuluh darah
00122128-a	X	awal dalam waktu
00122245-a	X	dalam mengantisipasi
00122626-a	X	dalam waktu berikutnya
00123018-v	X	karakter pinggiran kota
00123170-v	O	berbeda-beda
00123170-v	O	mengubahsuaikan
00123653-a	X	membungkuk atau melengkung
00124353-a	X	penghuni laut
00124442-v	O	bergulir
00124442-v	O	menggulir
00124442-v	O	mengisarkan
00124792-r	X	secara medis
00125068-a	X	di tepi daratan
00125078-v	O	mendangkar
00125629-n	O	gebrakan
00125841-v	X	melenceng
00125841-v	X	membelengkokan
00125985-r	O	raib
00126143-v	O	gundul
00126235-a	X	tulisan atau pidato
00126584-n	X	Cara memukul bola
00127531-n	O	terbaik
00128091-n	X	foul ball
00128572-a	X	tidak memiliki preseden
00128867-n	O	angin kencang
00129029-a	X	tidak dpt memegang
00129103-a	O	pranatal
00129467-a	O	pascalahir
00129612-a	X	makan pembuka
00129878-a	X	ada sebelum perang
00130151-a	X	dari amnesia
00130281-a	X	dari amnesia
00130596-a	X	setelah tengah hari
00130701-a	X	setelah tengah hari
00131485-n	O	tandukan
00133417-a	X	yang merangsang selera
00133669-a	O	lezat
00133669-a	X	menyenangkan rasa
00133851-a	X	tidak merangsang selera
00133981-n	X	knockdown
00134294-r	X	secara ilmu cuaca
00134562-a	X	kurang keramahan
00135073-r	X	secaara metafora
00136048-n	X	rabbit punch
00136329-n	O	sepatu bot
00136991-v	O	menggerawatkan
00137120-a	X	lewat jatuh tempo
00137313-v	O	menyentuhkan
00137373-a	X	menyerukan pengeluaran kas
00137562-r	O	berencel-encel
00138508-v	X	melenceng
00138508-v	X	membelengkokan
00138611-r	O	takah-takahnya
00138799-n	X	ciuman perancis
00138956-n	O	rampas
00140989-a	X	dicirikan oleh kolom
00141396-n	O	otopsi
00141522-a	X	tidak memiliki kolom
00141746-a	X	kurangnya pilar
00141806-n	O	percobaan
00142191-v	O	berbentuk
00142967-v	X	menyusun tabel
00143201-a	X	dengan tangan hampa
00143885-n	O	palpasi
00144102-a	O	tahan peluru
00144445-n	O	gelitik
00145571-r	O	secukupnya
00146138-v	X	melenceng
00146138-v	X	membelengkokan
00147595-n	O	pencantuman
00147815-v	O	berjatuhan
00147815-v	O	menggelulur
00148446-n	O	tubektomi
00149510-r	O	sungguh mati
00149583-v	O	mengantongi
00150591-n	O	jilat
00151655-r	X	memimpin pertandingan
00151689-v	O	berjatuhan
00151689-v	O	menggelulur
00151689-v	X	menyurut
00151957-r	O	sekaligus
00152173-r	O	bersama
00152345-r	X	komentar pernyataan
00152887-v	O	mengedrop
00153061-v	O	amblas
00153061-v	O	raib
00153105-n	O	diagnosa
00153263-v	O	membubungkan
00153372-r	O	semau-maunya
00153372-r	X	seenak-enaknya
00154141-v	O	membarui
00154141-v	O	memperbarui
00154141-v	O	mengulurkan
00154536-r	O	di bawah tangan
00155143-v	O	meloncer
00155143-v	O	membubung
00155143-v	O	pemanjatan
00155143-v	X	menyingsinng
00155488-r	O	bakdu
00155488-r	O	nantinya
00155547-v	O	doncang
00155547-v	O	meloncer
00155547-v	O	membubung
00155547-v	X	menyingsinng
00155995-r	O	berangsur
00155995-r	X	setapak demi setapak
00156390-n	O	inisiasi
00156601-v	O	membubungkan
00157462-v	O	mengantongi
00157623-v	O	menjebluk
00158222-v	O	mengantongi
00158503-v	O	membubungkan
00158503-v	O	memeliharakan
00158503-v	O	meroket
00158804-v	O	menghimpun
00158804-v	O	mengunggun
00158804-v	O	menindan
00158804-v	O	menumpuk
00158804-v	O	ramu
00159620-n	O	goda
00159620-n	O	penggodaan
00160532-n	O	penggodaan
00160659-r	O	nyaris
00161243-n	O	petik
00161243-n	O	pilihan
00161630-r	O	perlahan-lahan
00162137-r	O	empat mata
00162137-r	O	saku-saku
00162473-r	O	saku-saku
00162645-r	O	empat mata
00162645-r	O	saku-saku
00162688-v	O	memutasikan
00163441-v	O	membarui
00163441-v	O	memperbarui
00164201-v	O	membarui
00164201-v	O	memperbarui
00164201-v	O	merenovasi
00164751-r	O	jika
00164863-a	O	pico
00165018-r	X	bukan main-main
00165618-v	X	mengkonsolidasi
00166146-a	O	atraktif
00166331-v	O	tahan peluru
00166552-n	O	rokade
00166608-r	O	saku-saku
00167385-v	O	bergempa
00167385-v	O	bergoyang-goyang
00167385-v	O	mengopyok
00167652-v	O	membarui
00167652-v	O	memperbarui
00168237-n	O	manuver
00168658-n	O	boyong
00168658-n	O	ganjak
00168910-v	X	inactive
00169458-v	O	bertukar pakaian
00169806-v	X	memodifikasikan
00170695-v	O	memodernkan
00170857-v	O	memodernkan
00170857-v	O	mengaktualisasi
00171339-v	X	krim minuman
00171507-n	O	jembatan keledai
00171507-n	O	mnemonik
00172261-r	O	berparade
00172505-v	O	mengoptimalkan
00172598-n	X	ruse
00173220-a	X	dalam keadaan begitu
00173283-n	O	elak
00173338-v	O	hengkang
00173338-v	O	meluwengkan
00173884-r	X	sesuai dengan metoda
00175804-v	O	mencangkok
00177011-v	O	Mengeluarkan
00177011-v	O	Menimba
00178235-v	X	bersuluh matahari
00179925-a	O	konstitusional
00180279-r	O	perlahan-lahan
00181476-a	O	otomatis
00181640-n	O	pemungutan suara
00181664-v	X	bersuluh matahari
00181664-v	X	membekas ke luar
00181901-r	O	terambah
00182037-v	O	memacetkan
00183240-n	X	pemilu sela
00183383-v	O	bersebelahan
00183505-n	O	pemungutan suara
00183505-n	X	kertas suara pemilu
00184117-v	O	mencampur
00185051-r	X	dengan berterus terang
00185172-r	X	dengan cekatan
00185438-n	O	sungsang
00185778-n	X	bedah caesar
00185778-n	X	bedah sesar
00185778-n	X	operasi caesar
00187228-r	X	dengan selalu berhubungan
00187499-n	X	gol bunuh diri
00188341-n	X	skor sepakbola
00189669-v	O	menggelecik
00189669-v	O	tergelangsar
00189669-v	O	tergelecik
00189669-v	O	tergelicik
00190023-v	O	selang-seli
00190931-n	O	Russian Roulette
00191517-v	O	menonaktifkan
00191728-v	O	menonaktifkan
00191940-v	X	mengaktifkan kembali
00192511-r	X	dengan meyakinkan
00192659-v	O	merangsangkan
00192836-v	O	merangsangkan
00192866-r	X	dengan penuh ampun
00193015-a	O	mengkhawatirkan
00193015-a	X	mengegerkan
00193015-a	X	mengelisahkan
00193099-n	X	ekonomi skala
00193486-v	O	mengevaluasi
00193486-v	O	mengombinasikan
00193486-v	O	merangkai
00194912-v	O	menggunduli
00194912-v	O	menggundulkan
00195024-r	O	reguler
00195617-v	X	bersuluh matahari
00196024-v	X	menghilangkan hutan
00196203-r	O	seyogianya
00196364-v	X	sear
00197710-r	O	bersama
00198270-n	X	penyapihan
00198451-n	O	kenaikan pangkat
00198477-v	O	bercatut
00198477-v	O	mencatutkan
00198477-v	O	menggunduli
00199309-v	O	menghadkan
00199309-v	X	mengkualifikasikan
