synset	lemma	annotation	goodness label	confidence	language
13955461-n	yang sebenarnya	KEEP	X	2	English, Spanish
01825237-v	inginkan	KEEP	None	None	None
01391351-a	kecil”	KEEP	None	None	None
02621395-v	membuatkan	DELETE	O	None	None
90000323-n	cahkwe	KEEP	None	None	None
15237782-n	musim dingin	KEEP	O	1	Portuguese
05120116-n	terlalu banyak	KEEP	X	1	Portuguese
02999757-n	rantai	KEEP	Y	1	English
01376522-a	kenal	KEEP	None	None	None
05839024-n	kelas	DELETE	O	1	English
04728068-n	bermutu	KEEP	Y	1	Finnish
00772967-v	menghadirkan	KEEP	O	None	None
01027174-v	pembekalan	DELETE	Y	None	None
07663899-n	kue	KEEP	O	1	English
01157517-v	menyapu bersih	DELETE	X	None	None
02247584-v	terjual habis	KEEP	X	None	None
01795933-a	kompleks	KEEP	O	None	None
90000052-n	killiney road	KEEP	None	None	None
08182379-n	keramaian	KEEP	Y	1	English
00173338-v	meluwengkan	DELETE	O	None	None
01410606-a	bagaikan	DELETE	O	None	None
09144851-n	houston	KEEP	None	1	Portuguese
00542120-v	jadi	KEEP	None	None	None
00305821-r	suntuk	KEEP	L	None	None
09139508-n	pierre	KEEP	None	1	Finnish
02402825-v	memperhentikan	DELETE	O	None	None
05249636-n	bukaan	KEEP	None	1	Finnish
07967382-n	kelompok etnis	KEEP	X	1	Spanish
02717102-v	mendukung	DELETE	O	None	None
00923793-v	menunjukkan	KEEP	Y	None	None
02620587-v	boleh disamakan	DELETE	X	None	None
15164570-n	sabtu	KEEP	O	1	English
02926936-a	kereta	KEEP	O	None	None
05115568-n	banyak	KEEP	O	1	Portuguese
00301951-a	tidak terhitung	KEEP	X	None	None
13770169-n	sendok	KEEP	O	1	Greek
02096167-v	makan	DELETE	O	None	None
00851744-a	layak	KEEP	Y	None	None
00715239-v	rasa	KEEP	O	None	None
00038625-r	tentu	KEEP	None	None	None
01653873-v	terbuat	KEEP	None	None	None
00039941-r	nampak	KEEP	None	None	None
01825237-v	ingin	KEEP	Y	None	None
07399452-n	suara	KEEP	O	1	English
07527352-n	kemeriahan	KEEP	None	1	Finnish
03186285-n	dhow	KEEP	None	1	English
02327200-v	menyediaka	KEEP	None	None	None
00063014-n	mencatat	KEEP	Y	1	English
03299261-n	lainnya	DELETE	None	None	None
02699141-v	melambangkan	KEEP	O	None	None
06414372-n	buku teks	KEEP	None	1	Polish
05812038-n	tengah	KEEP	None	1	English
05011790-n	suhu	KEEP	Y	1	English
07614500-n	es krim	KEEP	O	1	Finnish
09450163-n	surya	KEEP	O	1	Portuguese
13327676-n	kehilangan	KEEP	Y	1	Polish
90000098-n	singapore river festival	KEEP	None	None	None
08179879-n	populasi	KEEP	None	1	Greek
02930766-n	taxi	KEEP	X	1	Polish
00582388-n	bidang	KEEP	O	1	Finnish
02697725-v	insan	DELETE	O	None	None
04877530-n	kesetiaan	KEEP	Y	2	Japanese, Portuguese
05899087-n	program	KEEP	Y	1	Slovene
05984287-n	edukasi	KEEP	O	1	Spanish
02269635-a	tiap	KEEP	L	None	None
15166191-n	sore	KEEP	O	1	English
02150948-v	lihat	KEEP	O	None	None
08544813-n	tanah	KEEP	O	1	Arabic
02443907-a	tropis	KEEP	None	None	None
08490039-n	terletak	KEEP	O	1	English
00508032-v	menandai	KEEP	None	None	None
00722232-v	berfokus	KEEP	O	None	None
00744916-a	tidak mudah	KEEP	X	None	None
07882497-n	racikan	KEEP	None	1	Slovene
13270373-n	sesaji	KEEP	None	1	English
01999798-v	meluwengkan	DELETE	O	None	None
07623664-n	kue tar	KEEP	O	1	English
80000397-n	serangoon	KEEP	None	None	None
03316406-n	pabrik	KEEP	O	2	Portuguese, Spanish
00250898-r	di antara	KEEP	L	None	None
02415390-a	kental	KEEP	Y	None	None
08902097-n	assam	KEEP	None	1	English
09367991-n	barang kebutuhan	KEEP	X	1	Portuguese
01212469-a	rendah	KEEP	O	None	None
06980315-n	tamil	KEEP	None	1	English
02563724-v	melengkapi	KEEP	O	None	None
01664172-v	membimbing	DELETE	O	None	None
90000230-n	Makanan Khas Singapura	KEEP	None	None	None
10415638-n	penari	KEEP	O	1	Portuguese
01388418-a	berskala	KEEP	None	None	None
05955186-n	mainstream	KEEP	None	1	English
13654777-n	gelang rantai	KEEP	O	1	English
09788521-n	teman	KEEP	O	1	Spanish
07680932-n	roti	KEEP	Y	1	English
01046932-v	lolongan	DELETE	None	None	None
02244956-v	menjual	KEEP	O	None	None
02427103-v	dibangun	KEEP	None	None	None
00043003-r	jadi	KEEP	O	None	None
00080169-r	di atas	KEEP	None	None	None
00816839-a	larut	KEEP	O	None	None
07450842-n	upacara	KEEP	Y	1	Finnish
04454240-n	gasing	KEEP	Y	1	English
01160806-v	dorong	KEEP	None	None	None
02641957-v	lewatkan	KEEP	X	None	None
00173338-v	membawa	DELETE	O	None	None
00758333-v	mengarik	DELETE	O	None	None
02687385-v	memandu	DELETE	O	None	None
06515662-n	hikayat	KEEP	O	1	English
00813790-v	mengiring	DELETE	O	None	None
00047534-r	turut	KEEP	None	None	None
02359464-a	mengejutkan	KEEP	O	None	None
04812268-n	elegan	KEEP	O	1	Arabic
01987545-n	udang	KEEP	O	None	None
13464820-n	perkembangan	KEEP	O	1	English
14881303-n	kaca	KEEP	Y	1	English
00030358-n	tindakan	KEEP	Y	1	Greek
02236124-v	mengarik	DELETE	O	None	None
00765213-v	menenangkan	KEEP	O	None	None
03040587-n	pencuci	KEEP	O	1	English
08438533-n	pepohonan	KEEP	None	1	Portuguese
01204294-n	rangka	DELETE	O	1	English
00339934-v	terjadi	KEEP	Y	None	None
15228378-n	pukul	KEEP	Y	1	Finnish
01992503-v	melaju	KEEP	None	None	None
00885217-v	terikat	KEEP	O	None	None
00616654-a	barbecued	KEEP	None	None	None
00755447-v	memohon	KEEP	O	None	None
02490877-v	rayakanlah	KEEP	None	None	None
04388473-n	tandoor	KEEP	None	2	English, Polish
02599636-v	mengajak	DELETE	O	None	None
00184363-a	terdapat	KEEP	O	None	None
01444563-v	menyate	KEEP	None	None	None
00331030-a	tengah	KEEP	O	None	None
07069948-n	ekspresi	KEEP	L	1	English
07663592-n	daging sapi	KEEP	X	1	English
07585107-n	kaldu ayam	KEEP	X	None	None
01085098-n	pembagian	KEEP	None	1	English
08633957-n	pelabuhan	KEEP	O	1	English
02339413-v	lengkapi	KEEP	X	None	None
08663860-n	puncak	KEEP	Y	1	English
02627934-v	perlu	KEEP	O	None	None
09206985-n	pendakian	KEEP	O	1	English
00407848-v	didekorasi	KEEP	None	None	None
90000014-n	kepiting pedas	KEEP	None	None	None
05716577-n	manis	KEEP	O	1	English
02764122-v	light up	KEEP	None	None	None
00962129-n	berontak	KEEP	X	1	English
01911526-v	berkeliling	KEEP	O	None	None
06517942-n	bon	KEEP	O	1	English
00734054-v	berpendapat bahawa	DELETE	X	None	None
04617289-n	hal	KEEP	O	1	English
02193194-v	terdengar	KEEP	O	None	None
00674270-a	buatan sendiri	KEEP	L	None	None
80001271-n	sang	KEEP	None	None	None
02068730-a	tersebut	KEEP	None	None	None
01027859-n	istiadat	KEEP	Y	1	Portuguese
00363788-n	penambahan	KEEP	O	1	English
00380696-n	pencampuran	KEEP	O	1	English
01692222-a	luar	KEEP	Y	None	None
08730354-n	taiwan	KEEP	None	1	Portuguese
00652900-v	membandingkan	KEEP	Y	None	None
01579128-a	lepas	DELETE	O	None	None
01918984-a	tenang	KEEP	O	None	None
07724943-n	kacang	KEEP	Y	1	Portuguese
02599636-v	makan	DELETE	O	None	None
02020590-v	terkena	DELETE	O	None	None
02993546-n	pusat	KEEP	Y	1	Slovene
01512625-v	tossed	KEEP	None	None	None
06161223-n	estetika	KEEP	O	1	Portuguese
07110615-n	suara	KEEP	O	1	English
01586342-a	baik	KEEP	Y	None	None
01928114-a	ras	KEEP	None	None	None
02203976-a	ke 15	KEEP	None	None	None
02587738-a	bernilai	KEEP	O	None	None
00049003-n	kemasukan	DELETE	O	1	Spanish
00238022-n	debut	KEEP	None	1	Spanish
00429048-n	hiburan	KEEP	Y	1	Greek
80000119-n	srikaya	KEEP	None	None	None
09617867-n	juru	KEEP	Y	1	English
01156834-v	menampung	DELETE	O	None	None
02357479-a	terkejut	KEEP	Y	None	None
07911677-n	koktil	KEEP	X	2	English, Spanish
02020590-v	menimpa	DELETE	O	None	None
00002621-r	hanya	KEEP	O	None	None
00751567-v	membuat	KEEP	O	None	None
09536058-n	tuhan	KEEP	L	1	English
00060939-r	sebelumnya	KEEP	X	None	None
07060167-n	musik rakyat	KEEP	O	1	English
04564698-n	jalan	KEEP	O	1	Slovene
00050037-n	pencatatan	KEEP	Y	2	Portuguese, Spanish
90000191-n	tekka centre	KEEP	None	None	None
08908509-n	bali	KEEP	None	1	Polish
00601378-v	masukilah	KEEP	None	None	None
00947128-n	menggunakan	KEEP	L	1	English
80001019-v	buka	KEEP	None	None	None
06650431-n	dokumentasi	KEEP	O	1	English
00340239-a	tentu	KEEP	O	None	None
01063930-v	berbagi	KEEP	None	None	None
05839024-n	bentuk	DELETE	Y	1	English
02531088-v	bersusah payah	KEEP	None	None	None
08059870-n	firma	KEEP	Y	1	English
10471250-n	pendeta	KEEP	O	1	English
00890590-v	memastikan	KEEP	Y	None	None
00607780-v	mengingat	KEEP	O	None	None
10990963-n	garibaldi	KEEP	None	3	Finnish, English, Polish
13746512-n	10	KEEP	None	1	English
02623906-v	membentuk	DELETE	O	None	None
00542120-v	menjadi	KEEP	None	None	None
02193141-a	70	KEEP	None	None	None
07581931-n	koktail	KEEP	O	None	None
00087736-v	mengerut	DELETE	O	None	None
01642437-v	perkenalkan	KEEP	L	None	None
13862780-n	watak	DELETE	O	1	Polish
03580615-n	internet	KEEP	X	1	English
13932045-n	negeri impian	KEEP	X	1	Polish
00986766-a	empuk	KEEP	None	None	None
08613593-n	kelihatannya	DELETE	O	1	English
02202712-a	kelima	KEEP	None	None	None
00018043-r	walaupun	KEEP	L	None	None
09989502-n	penari	KEEP	O	1	English
00592341-v	menghargai	KEEP	O	None	None
00028651-n	ruang tak terbatas	DELETE	X	1	English
00643250-a	kreatif	KEEP	O	None	None
02558767-a	natural	KEEP	None	None	None
01664172-v	bercadang	DELETE	O	None	None
07048000-n	nyanyian	KEEP	O	1	English
01517921-a	sipil	KEEP	Y	None	None
02163746-v	dilihat	DELETE	X	None	None
02927512-a	amerika	KEEP	None	None	None
00017881-r	seperti	KEEP	None	None	None
15212167-n	juli	KEEP	O	1	Spanish
01856626-v	bermigrasi	KEEP	Y	None	None
01982650-n	lobster	KEEP	None	1	Japanese
00341040-v	terjadi	KEEP	O	None	None
00047534-r	selain	KEEP	L	None	None
00024356-r	nggak	KEEP	None	None	None
01647229-v	mendirikan	KEEP	O	None	None
10967447-n	fatimah	KEEP	None	1	English
01051410-a	celaka	KEEP	L	None	None
02560585-v	buat	KEEP	Y	None	None
01210854-a	tinggi	KEEP	Y	None	None
04460130-n	menara	KEEP	Y	1	Spanish
07749582-n	jeruk nipis	KEEP	O	2	English, Polish
07110457-n	percakapan	KEEP	Y	1	English
02920121-a	bersejarah	KEEP	Y	None	None
01806106-a	jengkel	KEEP	None	None	None
07823105-n	chutney	KEEP	X	3	Polish, English, Portuguese
01002740-v	meluwengkan	DELETE	O	None	None
08772922-n	frankfurt	KEEP	None	1	Greek
01568684-a	seluruh dunia	KEEP	X	None	None
01755816-v	melakukan	KEEP	O	None	None
00758333-v	membutuhkan	DELETE	O	None	None
90000067-n	miss sixty	KEEP	None	None	None
05827509-n	tendangan	KEEP	Y	1	English
06722453-n	pernyataan	KEEP	L	1	English
02358034-v	terbuka	KEEP	L	None	None
14588492-n	komposisi	KEEP	O	1	Greek
12212361-n	sayuran	KEEP	Y	1	English
02067719-a	berbeda	KEEP	O	None	None
04763925-n	keistimewaan	KEEP	O	1	English
01167981-v	bersantap malam	KEEP	X	None	None
07724943-n	kacang buncis besar	DELETE	X	1	Portuguese
00477661-a	seperti di rumah	KEEP	None	None	None
01727926-a	dahulu	KEEP	Y	None	None
08567877-n	tujuan	KEEP	Y	1	English
01083373-v	memakan	DELETE	O	None	None
00173338-v	menarik diri	DELETE	O	None	None
10483530-n	nabi	KEEP	O	1	English
07891726-n	anggur	KEEP	Y	1	Polish
09877750-n	inggris	KEEP	None	None	None
00233687-r	lalu	DELETE	O	None	None
07217924-n	laporan	KEEP	O	1	Spanish
00697419-v	simak	KEEP	None	None	None
01998432-v	mengikuti	KEEP	Y	None	None
07951464-n	koleksi	KEEP	Y	1	English
07817465-n	ketumbar	KEEP	O	1	Japanese
02394183-v	mengisi	DELETE	O	None	None
04473432-n	transit	KEEP	L	1	English
90000019-n	Citarasa Melayu	KEEP	None	None	None
01664172-v	siaga	DELETE	Y	None	None
07770289-n	pare	KEEP	O	None	None
90000092-n	sim lim square	KEEP	None	None	None
01348174-v	mengunci	KEEP	Y	None	None
00061203-r	selepas	KEEP	O	None	None
08406486-n	yayasan	KEEP	Y	1	Finnish
03116530-n	konter	KEEP	None	1	Polish
02898711-n	jembatan 17 lengkungan	KEEP	None	1	English
02260730-a	kering	KEEP	O	None	None
02264075-v	berkati	KEEP	X	None	None
07737745-n	kacang tanah	KEEP	Y	1	English
02187296-a	10	KEEP	None	None	None
00013887-a	berlimpah	KEEP	None	None	None
01972298-v	gugur	KEEP	O	None	None
01096750-a	terpajang	KEEP	None	None	None
05282746-n	gigi	KEEP	Y	1	Polish
06359193-n	www.easibook.com	KEEP	None	1	Portuguese
01083769-v	reguk	DELETE	O	None	None
00515684-n	ekstravaganza	KEEP	None	1	English
90000066-n	maxwell food centre	KEEP	None	None	None
15218272-n	ramadan	KEEP	None	2	Polish, Portuguese
00893955-n	training	KEEP	None	1	Portuguese
07227772-n	komitmen	KEEP	O	1	Spanish
02394183-v	berhasil	DELETE	O	None	None
07071942-n	musik	KEEP	None	1	English
00664449-a	ingin tahu	KEEP	O	None	None
08630985-n	kawasan	KEEP	Y	1	English
08641113-n	berhampiran	DELETE	Y	1	English
02546467-v	akui	KEEP	X	None	None
02096167-v	berpulas	DELETE	None	None	None
04271891-n	tontonan	KEEP	None	2	English, Spanish
03113835-n	kostum	KEEP	O	1	Portuguese
07595180-n	caramel	KEEP	None	1	English
00605516-a	menurut kebiasaan	DELETE	X	None	None
05901508-n	kebijakan	KEEP	None	1	English
02881193-n	mangkuk	KEEP	Y	1	English
13817526-n	%	KEEP	None	1	English
09526703-n	kali	KEEP	None	1	Portuguese
00755745-v	bertanyakan	DELETE	None	None	None
08642037-n	sebelah	KEEP	O	1	Thai
90000333-n	nasi padang	KEEP	None	None	None
02174115-v	berdentang	KEEP	O	None	None
00173338-v	memasukkan	DELETE	O	None	None
02968525-a	asia	KEEP	None	None	None
00607780-v	mengenang	KEEP	Y	None	None
02743214-v	berasal	KEEP	O	None	None
00163233-n	tujuan	KEEP	Y	1	Slovene
05091194-n	ukuran	KEEP	Y	1	Spanish
00118523-v	bersambung	KEEP	Y	None	None
01079480-v	bertanding	KEEP	O	None	None
03723267-n	marquetry	KEEP	None	None	None
02869563-a	visual	KEEP	O	None	None
00255614-r	dengan ini	KEEP	M	None	None
07851298-n	krim keju	KEEP	X	None	None
80000945-x	alangkah	KEEP	None	None	None
08646787-n	pemandangan	KEEP	O	1	Japanese
09022265-n	uzbekistan	KEEP	None	1	English
01948077-v	berselancar	KEEP	O	None	None
00238022-n	sesuatu	DELETE	O	1	Spanish
00965606-a	sudah biasa	DELETE	X	None	None
08652970-n	angkasa	DELETE	O	1	English
02187793-a	15	KEEP	None	None	None
00025728-r	mana	KEEP	None	None	None
01431471-a	penuh perhatian	KEEP	None	None	None
00107416-r	ini baru	KEEP	None	None	None
02186580-a	ketiga	KEEP	None	None	None
00770437-v	dapat	DELETE	O	None	None
07824988-n	acar	KEEP	O	1	English
01593649-a	lazim	DELETE	O	None	None
00166146-a	memikat	KEEP	O	None	None
01204294-n	tali	DELETE	O	1	English
07288215-n	kali	KEEP	L	1	English
02445978-a	kenyal	KEEP	O	None	None
01936184-a	mitologi	KEEP	M	None	None
02002720-v	mengusir	KEEP	O	None	None
01467370-v	kelilingi	KEEP	X	None	None
09263811-n	dalam	DELETE	O	1	Thai
00035718-r	cukup	KEEP	None	None	None
15165289-n	pagi hari	KEEP	None	1	Portuguese
10280130-n	maestro	KEEP	O	1	English
08903872-n	mumbai	KEEP	None	1	English
00190115-a	sadar	KEEP	O	None	None
09644152-n	orang mongol	KEEP	None	1	Portuguese
05790242-n	pilihan	KEEP	O	1	Greek
00971075-a	modis	KEEP	Y	None	None
00594621-v	kenal	KEEP	O	None	None
03417345-n	suzhou	KEEP	None	1	Polish
00616913-a	braised	KEEP	None	None	None
07360841-n	peristiwa	KEEP	O	1	English
09813126-n	artis	KEEP	O	1	Spanish
05131647-n	ketinggian	KEEP	Y	1	Spanish
04924103-n	umur	KEEP	Y	2	English, Spanish
01452593-a	nyaring	KEEP	Y	None	None
04319937-n	jangkungan	KEEP	O	None	None
80001051-n	Tangs	KEEP	None	None	None
06636524-n	catatan	KEEP	O	1	English
01572831-a	bohongan	KEEP	None	None	None
03542333-n	hotel 1929	KEEP	None	1	Polish
14413265-n	dipersilakan	KEEP	None	1	English
80000697-n	buah keluak	KEEP	None	None	None
06784966-n	kasus	KEEP	L	1	Slovene
90000325-n	terasie	DELETE	None	None	None
02050132-v	melewati	KEEP	None	None	None
00613018-v	kehilangan	KEEP	O	None	None
01055954-n	kunjungan	KEEP	O	1	English
01862386-a	premium	KEEP	None	None	None
01955984-v	naik	KEEP	Y	None	None
00599992-v	belajar	KEEP	O	None	None
02620587-v	terdiri	KEEP	None	None	None
02301560-a	mantap	KEEP	Y	None	None
01010025-a	penutup	KEEP	L	None	None
15122231-n	era	KEEP	O	1	Portuguese
03570709-n	bahan	KEEP	Y	1	Finnish
90000161-n	singapore dance theatre	KEEP	None	None	None
02245765-v	bertransaksi	KEEP	X	None	None
90000111-n	the heeren	KEEP	None	None	None
02103162-v	tarik	KEEP	O	None	None
00127948-a	berikut	KEEP	O	None	None
07753592-n	pisang	KEEP	Y	1	English
02118933-v	perhatikanlah	KEEP	None	None	None
07596046-n	gula pasir	KEEP	O	1	Polish
08871007-n	inggris	KEEP	O	1	Slovene
05945642-n	pendapat	KEEP	O	1	English
05548840-n	bahu	KEEP	Y	1	English
02687385-v	ke	DELETE	O	None	None
00485711-a	sama	DELETE	O	None	None
80000797-n	olahraga ekstrem	KEEP	None	None	None
00583246-n	memanggil	DELETE	O	1	English
00834198-a	efektif	KEEP	Y	None	None
07933799-n	secangkir teh	KEEP	X	1	English
04096066-n	roads	KEEP	None	1	English
01239862-a	berdiri	KEEP	O	None	None
02339120-a	kemuka	KEEP	None	None	None
02655135-v	orang	DELETE	O	None	None
02698782-a	pantai	KEEP	O	None	None
01012855-a	utama	KEEP	O	None	None
09908025-n	muda	DELETE	O	1	Finnish
09604451-n	Sherlock Holmes	KEEP	O	1	Polish
02394183-v	menimbuni	DELETE	O	None	None
00133669-a	sedap	KEEP	O	None	None
02399595-a	tawar	KEEP	Y	None	None
01167981-v	bersantap	KEEP	Y	None	None
04010205-n	esplanade waterfront promenade	KEEP	None	1	English
90000083-n	Pulau Sentosa	KEEP	None	None	None
13947645-n	duduknya	DELETE	X	1	English
00094001-n	penyelamatan	KEEP	O	1	English
00082308-r	di sana	KEEP	O	None	None
10415638-n	penghibur	KEEP	O	1	Portuguese
02488488-v	mengunjungi	KEEP	O	None	None
02664769-v	setara	DELETE	O	None	None
07019172-n	musikal	KEEP	O	1	English
00101051-r	jauh	KEEP	O	None	None
05128519-n	seluas	KEEP	X	1	Polish
03671473-n	para hadirin	DELETE	None	1	Spanish
09972010-n	saudara”	KEEP	None	1	English
05844105-n	bergaya	DELETE	Y	1	Portuguese
02202712-a	lima	KEEP	None	None	None
00221985-r	di belakang	KEEP	None	None	None
00089408-r	amat	KEEP	O	None	None
00323856-v	rebus	KEEP	None	None	None
02129718-a	ditetapkan	KEEP	X	None	None
07302836-n	kebakaran	KEEP	O	1	English
01436003-a	singkat	KEEP	Y	None	None
07229245-n	terima kasih	KEEP	Y	1	Finnish
02284578-a	tertulis	KEEP	Y	None	None
06747670-n	pemberitahuan	KEEP	Y	1	English
15167474-n	malam	KEEP	O	1	Finnish
07711371-n	kentang rebus	KEEP	X	None	None
02152446-n	sayap	KEEP	O	1	Slovene
08731148-n	hong kong	KEEP	None	1	Japanese
00350104-v	menyambung semula	DELETE	X	None	None
00744916-a	sukar	KEEP	Y	None	None
08641113-n	sekitar	KEEP	O	1	English
00173338-v	mengarik	DELETE	O	None	None
00144722-r	benar	KEEP	None	None	None
05813822-n	suvenir	KEEP	Y	1	English
01729431-v	menyanyi	KEEP	Y	None	None
05129201-n	panjang	KEEP	O	1	Finnish
12897493-n	kentang	KEEP	Y	1	English
00525453-a	komprehensif	KEEP	Y	None	None
01031256-v	kirimkan	DELETE	None	None	None
02399595-a	hambar	KEEP	Y	None	None
00026385-v	santai	KEEP	None	None	None
04674968-n	warna-warni	KEEP	None	1	English
00973434-a	mewah	KEEP	O	None	None
02225510-a	ahli	KEEP	O	None	None
00041758-r	khusus	KEEP	None	None	None
05181754-n	hak	KEEP	Y	1	Slovene
02150328-v	simaklah	KEEP	X	None	None
08431942-n	baris	KEEP	O	1	English
01157517-v	meleburkan	DELETE	O	None	None
01687586-a	inovatif	KEEP	L	None	None
00436879-v	bervariasi	KEEP	O	None	None
00028651-n	infinite	DELETE	X	1	English
08399586-n	ragam	KEEP	None	1	English
00744916-a	berat	KEEP	O	None	None
02116118-v	memanjakan	KEEP	Y	None	None
80001531-n	Teh susu mutiara	KEEP	None	None	None
01052248-a	semerbak	KEEP	O	None	None
01920698-v	menjelajah	KEEP	O	None	None
06880249-n	cerminan	KEEP	L	1	English
06799897-n	tali	DELETE	O	1	English
05820620-n	misal	KEEP	Y	1	English
06373314-n	jalan cerita	KEEP	X	1	English
00029985-r	lanjut	KEEP	Y	None	None
00585810-n	menteri	KEEP	O	1	English
01714208-v	dipentaskan	KEEP	None	None	None
00679389-v	memilih	KEEP	O	None	None
01735736-a	sabar	KEEP	Y	None	None
02536557-v	pengaruh	KEEP	O	None	None
15206296-n	bulan	KEEP	O	2	Portuguese, Spanish
02154312-v	melihat	KEEP	O	None	None
04202417-n	ruko	KEEP	X	1	English
00455750-v	melengkapi	KEEP	O	None	None
01714208-v	tampil	KEEP	None	None	None
01870889-a	berguna	KEEP	O	None	None
02479323-v	bekalkan	DELETE	X	None	None
02696503-v	menjulang	KEEP	O	None	None
01436003-a	pendek	KEEP	Y	None	None
00157462-v	semakin	KEEP	O	None	None
02965043-a	japanese	KEEP	None	None	None
08619795-n	medan	DELETE	O	1	Greek
04026417-n	dompet	KEEP	O	1	English
01027174-v	memberi	DELETE	O	None	None
01673815-a	umum	KEEP	O	None	None
08964810-n	Malaysia Barat	KEEP	None	1	Polish
01168468-v	menangsel mulut	DELETE	O	None	None
01065115-v	memperkenalkan	KEEP	O	None	None
02967791-a	korea	KEEP	None	None	None
90000225-n	makansutra singapore	KEEP	None	None	None
90000300-n	prata	KEEP	None	None	None
02687385-v	pimpin	DELETE	O	None	None
07929519-n	kopi	KEEP	Y	1	English
02620587-v	manusia	DELETE	O	None	None
01712704-v	lakukan	KEEP	X	None	None
02020590-v	mengenai	DELETE	O	None	None
00031820-v	tertawa	KEEP	Y	None	None
02621395-v	menubuhkan	DELETE	O	None	None
02697725-v	orang	DELETE	O	None	None
02006834-v	jatuh ke	DELETE	X	None	None
00307631-n	perjalanan	KEEP	Y	1	English
00450070-n	pacuan	KEEP	None	1	Japanese
00094545-r	di atas	KEEP	None	None	None
08568256-n	tata	KEEP	None	1	English
09525579-n	dharma	KEEP	None	1	English
